oreum_id,official_record_no,name,city,address,altitude_m,area_m2,shape,attachment_status,location_status,location_grade,lat,lon,permit_context_count,farmmap_state_grade,farmmap_class,farmmap_pnu,model_status,model_screen_class,rgb_review_label,rgb_persistent_change,official_causal_grade,selective_decision
JJ-OREUM-214,214,새별오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산59-8,519.3,522216.0,복합형,corroborated,resolved_offline_osm_peak,C,33.3662548,126.3576883,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-215,215,새신오름,제주시,제주특별자치도 제주시 한경면 청수리 3369,141.2,214735.0,원형,corroborated,resolved_offline_osm_peak,C,33.2977804,126.2376627,1,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-216,216,샛개오리,제주시,제주특별자치도 제주시 봉개동 산78-1,658.3,73832.0,원추형,corroborated,unresolved,U,,,2,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-217,217,샛궤펜이,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,757.0,48413.0,원형,corroborated,unresolved,U,,,6,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-218,218,샛오름,제주시,제주특별자치도 제주시 애월읍 곽지리 산15,100.0,155467.0,말굽형(남서향),conflict,resolved_offline_osm_peak,C,33.4476476,126.3173459,2,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-219,219,생기악,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산33-1,260.0,167924.0,말굽형(북서향),not_in_attachment_scope,unresolved,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-220,220,서삼봉,제주시,제주특별자치도 제주시 오등동 산 50,448.4,21355.0,말굽형(서남향),corroborated,resolved_offline_osm_peak,C,33.4406233,126.5531402,4,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-221,221,서수모루,제주시,제주특별자치도 제주시 구좌읍 송당리 산67-2,253.7,39359.0,말굽형(동남향),corroborated,unresolved,U,,,3,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-222,222,서우봉,제주시,제주특별자치도 제주시 조천읍 함덕리 169-1,111.3,835758.0,원추형,corroborated,resolved_offline_osm_peak,C,33.5458447,126.6775825,4,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-223,223,선소오름,제주시,제주특별자치도 제주시 한림읍 금악리 2785-1,226.0,240943.0,말굽형(동향),corroborated,resolved_offline_osm_peak,C,33.3730449,126.2887115,13,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-224,224,설오름,서귀포시,제주특별자치도 서귀포시 신효동 1028,50.1,27896.0,원추형,not_in_attachment_scope,unresolved,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-225,225,설오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산1,238.0,273810.0,말굽형(서향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.3710636,126.7695394,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-226,226,섯궤펜이,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,774.0,72363.0,원형,corroborated,unresolved,U,,,6,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-227,227,섯알오름,서귀포시,제주특별자치도 서귀포시 대정읍 상모리 1618,40.7,29094.0,말굽형(서향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.2064905,126.2812203,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-228,228,성널오름,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,1215.2,645717.0,원추형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.3740983,126.5918597,0,U,,,screen_complete_existing_v6,high_unstable,pending,pending,U,abstain
JJ-OREUM-229,229,성불오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산266,361.7,380707.0,말굽형(동향),corroborated,resolved_offline_osm_peak,C,33.4224437,126.7491286,3,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-230,230,성산일출봉,서귀포시,제주특별자치도 서귀포시 성산읍 성산리 1,179.0,453030.0,원형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.4588891,126.9408178,0,U,,,screen_complete_existing_v6,high_stable,stable_or_unclear,uncertain,U,investigate
JJ-OREUM-231,231,성진이오름,제주시,제주특별자치도 제주시 봉개동 산78-2,700.5,128381.0,원형,corroborated,resolved_offline_osm_peak,C,33.4198196,126.6108506,2,U,,,screen_complete_existing_v6,high_unstable,pending,pending,U,abstain
JJ-OREUM-232,232,세미소,제주시,제주특별자치도 제주시 한림읍 금악리 363,374.8,160098.0,원형(화구호),corroborated,resolved_offline_osm_peak,C,33.3499528,126.3233222,13,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
