oreum_id,official_record_no,name,city,address,altitude_m,area_m2,shape,attachment_status,location_status,location_grade,lat,lon,permit_context_count,farmmap_state_grade,farmmap_class,farmmap_pnu,model_status,model_screen_class,rgb_review_label,rgb_persistent_change,official_causal_grade,selective_decision
JJ-OREUM-284,284,오드싱오름,제주시,제주특별자치도 제주시 오등동 1554,206.2,169387.0,말굽형(북향),corroborated,unresolved,U,,,4,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-285,285,오백나한,서귀포시,제주특별자치도 서귀포시 하원동 산1-1,1639.3,599856.0,복합형,not_in_attachment_scope,unresolved,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-286,286,왕관릉,제주시,제주특별자치도 제주시 오등동 산182,1666.3,43678.0,원추형,corroborated,resolved_offline_osm_peak,C,33.3711975,126.5330453,4,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-287,287,왕오름,서귀포시,제주특별자치도 서귀포시 중문동 산1-1,1223.0,92387.0,원추형,not_in_attachment_scope,unresolved,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-288,288,왕이메,서귀포시,제주특별자치도 서귀포시 안덕면 광평리 산79,612.4,709179.0,복합형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.3435327,126.3765879,0,U,,,screen_complete_existing_v6,high_unstable,pending,pending,U,abstain
JJ-OREUM-289,289,용눈이오름,제주시,제주특별자치도 제주시 구좌읍 종달리 산28,247.8,404264.0,복합형,corroborated,resolved_offline_osm_peak,C,33.4599065,126.8325016,2,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-290,290,용머리,서귀포시,제주특별자치도 서귀포시 안덕면 사계리 112-1,48.5,59515.0,원추형,not_in_attachment_scope,unresolved,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-291,291,우보악,서귀포시,제주특별자치도 서귀포시 색달동 912-1,301.4,399924.0,말굽형(동향),not_in_attachment_scope,unresolved,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-292,292,우진제비,제주시,제주특별자치도 제주시 조천읍 선흘리 산111,410.6,406250.0,말굽형(북동향),corroborated,resolved_offline_osm_peak,C,33.4677794,126.6994832,4,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-293,293,운지악,서귀포시,제주특별자치도 서귀포시 남원읍 남원리 760-2,113.5,37596.0,말굽형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.2994833,126.7046944,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
