번호,오름명,행정시,소재지,비고,표고,면적
96,베두리오름,제주시,연동 270-3,10,85,"21,438"
97,별도봉,제주시,화북일동 4472,101,136,"242,535"
98,봉아오름,제주시,봉개동 1811-1,36,166,"57,506"
99,부대악,제주시,조천읍 선흘리 산103-1,109,469,"455,827"
100,부소악,제주시,조천읍 교래리 산2,129,469,"423,459"
101,북돌아진오름,제주시,애월읍 봉성리 산41,118,643,"338,981"
102,북오름,제주시,구좌읍 덕천리 산69,86,305,"168,850"
103,불칸디오름,제주시,봉개동 산78-2,91,996,"204,167"
104,붉은오름,제주시,애월읍 광령리 산183-2,136,"1,061","411,978"
105,비양봉,제주시,한림읍 협재리 산100-1,104,114,"260,428"
106,비치미,제주시,구좌읍 송당리 산255-1,109,344,"388,793"
107,빈내오름,제주시,애월읍 봉성리 산5-2,93,659,"359,116"
108,사라봉,제주시,건입동 387-1,98,148,"233,471"
109,사제비동산,제주시,애월읍 광령리 산138-1,49,"1,424","95,420"
110,산굼부리,제주시,조천읍 교래리 산38,32,437,"574,697"
111,산세미오름,제주시,애월읍 고성리 산127,102,652,"382,100"
112,살핀오름,제주시,애월읍 광령리 산183-2,76,"1,076","112,029"
113,삼각봉,제주시,오라동 산107,186,"1,696","237,586"
114,삼형제말젯오름,제주시,애월읍 봉성리 산1,123,"1,075","340,627"
115,삼형제샛오름,제주시,애월읍 광령리 산183-2,49,"1,113","412,642"
116,삼형제큰오름,제주시,애월읍 광령리 산183-2,118,"1,143","367,384"
117,상여오름,제주시,연동 산72,60,245,"162,799"
118,새별오름,제주시,애월읍 봉성리 산59-8,119,519,"522,216"
119,새신오름,제주시,한경면 청수리 3369,41,141,"214,735"
120,샛개오리,제주시,봉개동 산78-1,58,658,"73,832"
121,샛궤펜이,제주시,조천읍 교래리 산137-1,37,757,"48,413"
122,샛오름,제주시,애월읍 곽지리 산14,60,100,"155,467"
123,서삼봉,제주시,오등동 산 50,48,448,"21,355"
124,서수모루,제주시,구좌읍 송당리 산67-2,28,254,"39,359"
125,서우봉,제주시,조천읍 함덕리 169-1,106,111,"835,758"
126,선소오름,제주시,한림읍 금악리 2785-1,46,226,"240,943"
127,섯궤펜이,제주시,조천읍 교래리 산137-1,59,774,"72,363"
128,성불오름,제주시,구좌읍 송당리 산266,97,362,"380,707"
129,성진이오름,제주시,봉개동 산78-2,75,701,"128,381"
130,세미소,제주시,한림읍 금악리 363,30,375,"160,098"
131,세미오름,제주시,아라동 산24-2,139,574,"412,000"
132,세미오름,제주시,조천읍 대흘리 산27-1,126,421,"261,938"
133,소산오름,제주시,아라일동 산31,48,413,"30,782"
134,손자봉,제주시,구좌읍 종달리 산52,76,256,"279,921"
135,송아오름,제주시,한경면 조수리 134,29,104,"30,701"
136,쇠머리오름,제주시,우도면 연평리 산19-1,128,133,"457,393"
137,수월봉,제주시,한경면 고산리 3763,73,78,"249,820"
138,쉼터동산,제주시,애월읍 광령리 산183-1,47,"1,103","69,083"
139,식은이오름,제주시,구좌읍 덕천리 1450,45,286,"139,259"
140,쌀손장오리,제주시,봉개동 산78-2,98,913,"298,849"
141,아끈다랑쉬,제주시,구좌읍 세화리 2593-1,58,198,"164,072"
142,아부오름,제주시,구좌읍 송당리 산164-1,51,301,"314,926"
143,안돌오름,제주시,구좌읍 송당리 산 66-2,93,368,"298,148"
144,안세미,제주시,봉개동 산2,91,396,"174,311"
145,안오름,제주시,애월읍 고성리 1146,21,186,"114,268"
146,안천이오름,제주시,애월읍 어음리 산124,77,742,"156,344"
147,안친오름,제주시,구좌읍 송당리 808,22,192,"46,443"
148,알밤,제주시,조천읍 선흘리 산 59-1,154,394,"505,969"
149,알선족이오름,제주시,구좌읍 송당리 산14,21,291,"45,512"
150,알오름,제주시,건입동 387-1,21,96,"35,659"
151,알오름,제주시,애월읍 유수암리 산114,31,446,"87,253"
152,어대오름,제주시,구좌읍 덕천리 509-1,55,211,"117,905"
153,어도오름,제주시,애월읍 봉성리 3920-24,73,143,"376,225"
154,어스렁오름,제주시,애월읍 광령리 산183-1,37,"1,332","82,247"
155,어승생,제주시,해안동 220-1,350,"1,169","2,543,257"
156,어후오름,제주시,조천읍 교래리 산137-2,116,"1,017","229,772"
157,열안지,제주시,오라이동 산97,113,583,"368,262"
158,열안지오름,제주시,봉개동 산78-1,54,329,"55,701"
159,오구시오름,제주시,오등동 570-1,29,189,"27,729"
160,오드싱오름,제주시,오등동 1554,56,206,"169,387"
161,왕관릉,제주시,오등동 산182,150,"1,666","43,678"
162,용눈이오름,제주시,구좌읍 종달리 산28,88,248,"404,264"
163,우진제비,제주시,조천읍 선흘리 산111,126,411,"406,250"
164,웃밤,제주시,조천읍 선흘리 산 84,137,417,"376,587"
165,웃선족이오름,제주시,구좌읍 송당리 산140-2,32,307,"64,789"
166,웃세오름,제주시,애월읍 광령리 산138-1,75,"1,740","273,416"
167,원당봉,제주시,삼양일동 산1-1,120,171,"663,286"
168,은월봉,제주시,구좌읍 종달리 산21,75,180,"209,307"
169,이계오름,제주시,한경면 청수리 1854,38,168,"48,811"
170,이달봉,제주시,애월읍 봉성리 산71-1,119,489,"250,204"
171,이달이촛대봉,제주시,애월읍 봉성리 산71-1,86,456,"104,258"
172,이스렁오름,제주시,애월읍 광령리 산138-1,73,"1,353","155,494"
173,입산봉,제주시,구좌읍 동김녕리 1033,65,85,"229,521"
174,장구목,제주시,오라이동 산107,70,"1,813","227,978"
175,저지오름,제주시,한경면 저지리 산51,104,239,"379,316"
176,절물오름(족은대나),제주시,봉개동 산78-1,120,657,"305,719"
177,절물오름(큰대나),제주시,봉개동 산78-1,147,697,"397,123"
178,정물알오름,제주시,한림읍 금악리 105-1,41,356,"52,854"
179,정물오름,제주시,한림읍 금악리 산52-1,151,466,"494,293"
180,정월오름,제주시,한림읍 금능리 565-61,56,106,"192,446"
181,족은개오리,제주시,봉개동 산78-1,79,664,"175,778"
182,족은노로오름,제주시,애월읍 고성리 산145,34,"1,019","95,867"
183,족은노리손이,제주시,봉개동 산294-22,28,414,"14,756"
184,족은돌이미,제주시,구좌읍 송당리 2451,24,274,"66,814"
185,족은드레,제주시,해안동 산220-1,279,"1,339","685,355"
186,족은바리메,제주시,애월읍 상가리 산124,126,726,"688,020"
187,족은방애오름,제주시,조천읍 교래리 산 44,28,438,"61,947"
188,족은오름,제주시,애월읍 광령리 산138-1,64,"1,699","116,502"
189,족은지그리,제주시,조천읍 교래리 산119,69,504,"120,674"
190,종재기악,제주시,구좌읍 덕천리 1307,45,255,"22,813"
191,주체오름,제주시,구좌읍 덕천리 864,35,221,"61,751"
192,지미봉,제주시,구좌읍 종달리 산3-1,160,166,"423,814"
193,진물굼부리,제주시,봉개동 산78-1,25,573,"50,595"
194,천아오름,제주시,애월읍 광령리 산182,87,797,"157,348"
195,천아오름,제주시,한림읍 상대리 1689,49,134,"127,387"
196,체오름,제주시,구좌읍 덕천리 산 2,117,382,"553,701"
197,쳇망오름,제주시,애월읍 광령리 산138-1,55,"1,355","238,510"
198,칡(족은)오름,제주시,봉개동 466-2,42,327,"51,407"
199,칡(큰)오름,제주시,봉개동 466-2,47,337,"50,953"
200,칡오름,제주시,구좌읍 송당리 산155,49,304,"126,006"
201,큰노리손이,제주시,봉개동 산294-22,52,427,"69,773"
202,큰돌이미,제주시,구좌읍 송당리 산255-1,82,312,"273,308"
203,큰드레,제주시,오라동 산107,140,"1,628","490,592"
204,큰지그리,제주시,조천읍 교래리 산119,118,598,"344,976"
205,테역장오리,제주시,봉개동 산78-2,50,846,"104,519"
206,파군봉,제주시,애월읍 하귀1리 688-1,50,85,"59,269"
207,판포오름,제주시,한경면 판포리 935-1,58,93,"192,446"
208,폭낭오름,제주시,애월읍 봉성리 산43,76,646,"583,171"
209,한대오름,제주시,애월읍 봉성리 산1,36,921,"132,263"
210,흙붉은오름,제주시,아라일동 산67,146,"1,381","721,090"
