PNU,위치명,지목명,면적(㎡),용도지역명,용도지구명,지자체코드,지자체명,개발행위코드,개발행위명,대표개발행위코드,대표개발행위명,신청일자,허가일자,개발행위목적
5011025633131590001,제주시 구좌읍 평대리 3159-1,,2526,계획관리지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160628,20160722,노외주차장
5011013900110910001,제주시 해안동  1091-1,,4523,자연녹지지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160707,20160722,임시야적장
5011025328113370001,제주시 애월읍 소길리 1337-1,,7490,보전관리지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160617,20160715,임시야적장
5011025030118850005,제주시 한림읍 상명리 1885-5,,334,계획관리지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160705,20160715,액비저장조
5011012200115830003,제주시 노형동  1583-3,,3542,자연녹지지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160622,20160715,부설주차장
5011025342121590009,제주시 애월읍 유수암리 2159-9,,573,계획관리지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160616,20160714,노외주차장
5011025325106700006,제주시 애월읍 수산리 670-6,,28,자연녹지지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160518,20160714,대지확장
5011013900115690001,제주시 해안동  1569-1,,66,계획관리지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160629,20160713,유류저장소
5011013800101740001,제주시 도평동  174-1,,3475,자연녹지지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160629,20160704,노외주차장조성
5011011600126890010,제주시 봉개동  2689-10,,3571,자연녹지지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160616,20160707,노외주차장조성
5011025930104500001,제주시 조천읍 선흘리 450-1,,682,생산관리지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160616,20160712,공작물설치(말조련용 자동보행기)
5011013900113730001,제주시 해안동  1373-1,,1487,보전관리지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160629,20160705,임시야적장조성
5011012200134270007,제주시 노형동  3427-7,,20,자연녹지지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160601,20160617,대지확장
5011013600115990002,제주시 영평동  1599-2,,982,자연녹지지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160601,20160616,임시야적장
5011025022102690010,제주시 한림읍 수원리 269-10,,9998,생산녹지지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160526,20160615,육상양식장 수조
5011025321113610004,제주시 애월읍 광령리 1361-4,,100,계획관리지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160512,20160602,대지확장
5011012700113790003,제주시 도두일동  1379-3,,3957,자연녹지지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160406,20160526,렌트카차고지
5011025633100040015,제주시 구좌읍 평대리 4-15,,9050,보전녹지지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160512,20160524,양어장조성
5011025929101370001,제주시 조천읍 교래리 137-1,,54,농림지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160512,20160524,통신주설치
5011014000100600003,제주시 내도동  60-3,,2478,자연녹지지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160427,20160517,렌트카차고지
5011025028103400002,제주시 한림읍 옹포리 340-2,,35,제2종일반주거지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160427,20160510,대지확장
5011013800107470002,제주시 도평동  747-2,,1487,자연녹지지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20160419,20160429,임시야적장조성
5013025928109320000,제주특별자치도 서귀포시 성산읍 삼달리 932 ,임야,0,,,50130,제주특별자치도 서귀포시,00001, 토지형질변경,00001, 토지형질변경,20170219,20170219,묘지조성(가족사설묘)
